Sampling Feature UUID: a8098bc0-141d-4882-b251-bedc0219fe1b
Date and Time in UTC+0
Result UUID: ,36f4f6a1-2f36-4083-b8a8-94f50acdd066,55f349b7-3491-40de-a828-9abb31e9f20d,fbee68c8-5463-4a38-98a8-f985fba923e8,be1d621e-95d4-447e-bee7-97d4102c9f2e
2023-11-14 02:02:35,401,2.87,-6.41,86
2023-11-14 03:02:35,402,2.86,-4.02,80
2023-11-14 04:02:35,403,2.9,3.14,59
2023-11-14 05:02:35,404,2.65,9.18,41
2023-11-14 06:02:35,405,2.73,13.88,29
2023-11-14 07:02:35,406,2.8,8.63,38
2023-11-14 08:02:35,407,2.83,8.39,40
2023-11-14 09:02:35,408,2.79,9.08,41
2023-11-14 10:02:35,409,2.95,11.91,33
2023-11-14 11:02:35,410,2.88,4.63,50
2023-11-14 12:02:35,411,2.69,-0.56,66
2023-11-14 13:02:35,412,2.86,-1.79,69
2023-11-14 14:02:35,413,2.86,-3.75,76
2023-11-14 15:02:35,414,2.65,-4.54,77
2023-11-14 16:02:35,415,2.62,-5.73,80
2023-11-14 17:02:35,416,2.76,-4.69,83
2023-11-14 18:02:35,417,2.81,-4.54,84
2023-11-14 19:02:35,418,2.58,-2.51,77
2023-11-14 20:02:35,419,2.79,3.24,59
2023-11-14 21:02:35,420,2.72,-0.9,70
2023-11-14 22:02:35,421,2.53,-1.44,74
2023-11-14 23:02:35,422,2.75,-1.59,76
2023-11-15 00:02:35,423,2.76,-2.69,79
2023-11-15 01:02:35,424,2.71,-2.89,82
2023-11-15 02:02:35,425,2.82,-1.85,78
2023-11-15 03:02:35,426,2.67,-0.05,73
2023-11-15 04:02:35,427,2.82,8.13,52
2023-11-15 05:02:35,428,2.82,15.25,26
2023-11-15 06:02:35,429,2.96,16.54,25
2023-11-15 07:02:35,430,3.12,12.66,30
2023-11-15 08:02:35,431,2.83,18.56,22
2023-11-15 09:02:35,432,2.51,16.54,23
2023-11-15 10:02:35,433,2.82,12.24,26
2023-11-15 11:02:35,434,2.61,5.58,36
2023-11-15 12:02:35,435,2.72,1.31,52
2023-11-15 13:02:35,436,2.63,8.54,32
2023-11-15 14:02:35,437,2.8,7.91,32
2023-11-15 15:02:35,438,2.71,9.59,28
2023-11-15 16:02:35,439,3.15,8.25,33
2023-11-15 17:02:35,440,2.91,8.35,35
2023-11-15 18:02:35,441,3.01,8.06,43
2023-11-15 19:02:35,442,2.92,7.16,52
2023-11-15 20:02:35,443,2.63,5.99,61
2023-11-15 21:02:35,444,2.72,4.12,65
2023-11-15 22:02:35,445,2.71,3.0,69
2023-11-15 23:02:35,446,2.95,1.87,76
2023-11-16 00:02:35,447,2.9,0.43,83
2023-11-16 01:02:35,448,2.92,-1.08,86
2023-11-16 02:02:35,449,2.97,-1.21,87
2023-11-16 03:02:35,450,2.87,2.62,73
2023-11-16 04:02:35,451,2.67,5.58,62
2023-11-16 05:02:35,452,2.9,8.09,52
2023-11-16 06:02:35,453,2.73,10.29,46
2023-11-16 07:02:35,454,2.49,10.95,42
2023-11-16 08:02:35,455,2.68,13.51,32
2023-11-16 09:02:35,456,2.56,11.05,36
2023-11-16 10:02:35,457,2.84,7.47,46
2023-11-16 11:02:35,458,2.9,4.06,55
2023-11-16 12:02:35,459,2.63,1.53,64
2023-11-16 13:02:35,460,2.9,-1.51,73
2023-11-16 14:02:35,461,2.64,-1.0,71
2023-11-16 15:02:35,462,3.05,-2.18,72
2023-11-16 16:02:35,463,2.83,-4.02,83
2023-11-16 17:02:35,464,2.85,-5.42,85
2023-11-16 18:02:35,465,2.8,-6.29,83
2023-11-16 19:02:35,466,2.73,-7.17,87
