Node,Message,Time UTC,Battery V,Last TX Dur ms,Temp C,Hum %,Status,Notes
5,91,2023-11-01T05:29:17,2.8,4.28,2.93,58,0x0,
10,92,2023-11-01T05:36:27,3.39,4.27,-1.76,100,0x0,
3,92,2023-11-01T06:02:35,2.68,4.25,7.96,41,0x0,
5,92,2023-11-01T06:29:17,2.57,4.27,6.46,48,0x0,
10,93,2023-11-01T06:36:27,3.4,4.27,-1.26,100,0x0,
3,93,2023-11-01T07:02:35,2.7,4.27,9.82,39,0x0,
5,93,2023-11-01T07:29:17,2.86,4.27,9.18,43,0x0,
10,94,2023-11-01T07:36:27,3.4,4.27,-0.79,100,0x0,
3,94,2023-11-01T08:02:35,2.6,4.27,12.83,35,0x0,
5,94,2023-11-01T08:29:17,2.89,4.27,12.94,30,0x0,
10,95,2023-11-01T08:36:27,3.4,4.27,-0.2,100,0x0,
3,95,2023-11-01T09:02:35,3.1,4.27,12.46,26,0x0,
5,95,2023-11-01T09:29:17,2.8,4.27,9.53,35,0x0,
10,96,2023-11-01T09:36:27,3.4,4.27,-0.16,100,0x0,
3,96,2023-11-01T10:02:35,2.82,4.28,9.49,37,0x0,
5,96,2023-11-01T10:29:17,2.53,4.27,9.38,38,0x0,
10,97,2023-11-01T10:36:27,3.39,4.27,-0.16,100,0x2,RFM95_NO_REPLY
3,97,2023-11-01T11:02:35,2.95,4.26,11.16,33,0x2,RFM95_NO_REPLY
5,97,2023-11-01T11:29:17,2.65,4.27,8.38,38,0x2,RFM95_NO_REPLY
10,98,2023-11-01T11:36:27,3.4,4.27,-0.16,100,0x0,
3,98,2023-11-01T12:02:35,2.75,4.27,5.49,45,0x0,
5,98,2023-11-01T12:29:17,3.09,4.27,4.89,48,0x0,
10,99,2023-11-01T12:36:27,3.4,4.27,-0.14,100,0x0,
3,99,2023-11-01T13:02:35,2.92,4.26,2.73,57,0x0,
5,99,2023-11-01T13:29:17,2.65,4.27,3.36,56,0x0,
10,100,2023-11-01T13:36:27,3.4,4.27,-0.16,100,0x0,
3,100,2023-11-01T14:02:35,2.75,4.26,-0.73,71,0x0,
5,100,2023-11-01T14:29:17,2.78,4.28,-0.86,77,0x0,
10,101,2023-11-01T14:36:27,3.4,4.27,-0.17,100,0x0,
3,101,2023-11-01T15:02:35,2.74,4.25,-2.2,77,0x0,
5,101,2023-11-01T15:29:17,2.63,4.27,-1.11,77,0x0,
10,102,2023-11-01T15:36:27,3.4,4.27,-0.14,100,0x0,
3,102,2023-11-01T16:02:35,2.92,4.25,-2.14,77,0x0,
5,102,2023-11-01T16:29:17,2.9,4.28,-1.84,80,0x0,
10,103,2023-11-01T16:36:27,3.4,4.27,-0.17,100,0x0,
3,103,2023-11-01T17:02:35,2.95,4.25,-2.66,79,0x0,
5,103,2023-11-01T17:29:17,2.83,4.27,-2.47,82,0x0,
10,104,2023-11-01T17:36:27,3.41,4.28,-0.16,100,0x0,
